project_id,visual_group_id,set_id,file_id,region_index,filename
nls-chapbooks-illustrations,illustration-group,12,3131,0,"104185181/image/108784904.3.jpg"
nls-chapbooks-illustrations,illustration-group,12,3135,0,"104185181/image/108784988.3.jpg"
nls-chapbooks-illustrations,illustration-group,13,3112,0,"104184821/image/108831944.3.jpg"
nls-chapbooks-illustrations,illustration-group,13,3365,0,"104185851/image/108639093.3.jpg"
nls-chapbooks-illustrations,illustration-group,14,3109,0,"104186293/image/108948680.3.jpg"
nls-chapbooks-illustrations,illustration-group,14,3147,0,"104186317/image/108944840.3.jpg"
nls-chapbooks-illustrations,illustration-group,15,1772,0,"104186861/image/108878060.3.jpg"
nls-chapbooks-illustrations,illustration-group,15,2937,0,"104186632/image/108910304.3.jpg"
nls-chapbooks-illustrations,illustration-group,15,3105,0,"104186653/image/108904340.3.jpg"
nls-chapbooks-illustrations,illustration-group,15,1593,1,"104186676/image/108898184.3.jpg"
nls-chapbooks-illustrations,illustration-group,15,1593,2,"104186676/image/108898184.3.jpg"
nls-chapbooks-illustrations,illustration-group,15,1593,3,"104186676/image/108898184.3.jpg"
nls-chapbooks-illustrations,illustration-group,16,3097,0,"104186653/image/108904184.3.jpg"
nls-chapbooks-illustrations,illustration-group,16,3103,0,"104186653/image/108904208.3.jpg"
nls-chapbooks-illustrations,illustration-group,17,3042,0,"104187104/image/108537549.3.jpg"
nls-chapbooks-illustrations,illustration-group,17,3139,0,"104185945/image/108703088.3.jpg"
nls-chapbooks-illustrations,illustration-group,18,3020,0,"104186702/image/108894980.3.jpg"
nls-chapbooks-illustrations,illustration-group,18,3407,0,"104186474/image/108581493.3.jpg"
nls-chapbooks-illustrations,illustration-group,19,3013,0,"104186378/image/108586437.3.jpg"
nls-chapbooks-illustrations,illustration-group,19,3477,0,"104187145/image/108531885.3.jpg"
nls-chapbooks-illustrations,illustration-group,20,3011,0,"104185961/image/108701840.3.jpg"
nls-chapbooks-illustrations,illustration-group,20,3208,0,"104186014/image/108964784.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,469,0,"104186239/image/108596949.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,2397,0,"104186228/image/108598005.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,2985,0,"104186224/image/108598389.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,3470,0,"104186227/image/108598101.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,3544,0,"104186266/image/108594357.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,3419,2,"104186223/image/108598485.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,3446,2,"104186250/image/108595893.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,1004,1,"104186191/image/108607317.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,3419,4,"104186223/image/108598485.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,469,4,"104186239/image/108596949.3.jpg"
nls-chapbooks-illustrations,illustration-group,21,3446,5,"104186250/image/108595893.3.jpg"
nls-chapbooks-illustrations,illustration-group,22,1389,0,"104185864/image/108635301.3.jpg"
nls-chapbooks-illustrations,illustration-group,22,2964,0,"104185863/image/108635589.3.jpg"
nls-chapbooks-illustrations,illustration-group,22,2965,0,"104185863/image/108635613.3.jpg"
nls-chapbooks-illustrations,illustration-group,23,1987,0,"104186619/image/108914000.3.jpg"
nls-chapbooks-illustrations,illustration-group,23,2933,0,"104186632/image/108910256.3.jpg"
nls-chapbooks-illustrations,illustration-group,23,2582,2,"104186656/image/108903572.3.jpg"
nls-chapbooks-illustrations,illustration-group,23,2208,6,"104186455/image/117856907.3.jpg"
nls-chapbooks-illustrations,illustration-group,23,2582,5,"104186656/image/108903572.3.jpg"
nls-chapbooks-illustrations,illustration-group,24,1399,0,"104184640/image/108677482.3.jpg"
nls-chapbooks-illustrations,illustration-group,24,2506,0,"104186826/image/108888104.3.jpg"
