file_id,filename,chapbook_id,place_printed,place_printed_nation,place_published,place_sold,publisher,printer,bookseller,date,volume,item,imprint,nls_digital_chapbook_page_id,assigned_date,assigned_printer,assigned_publisher,assigned_place_printed,assigned_place_published,assigned_place_sold
2067,104184909/image/108518085.3.jpg,104184909,Falkirk,Scotland,,,,"Johnston, Thomas (Printer in Falkirk)",,1816,L.C.2823,L.C.2823(42),Printed by T. Johnston,108518083,,,,,,
2068,104185197/image/108780404.3.jpg,104185197,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.B,L.C.2852.B(5),Printed for the booksellers,108780402,,,,,,
2069,104185197/image/108780464.3.jpg,104185197,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.B,L.C.2852.B(5),Printed for the booksellers,108780462,,,,,,
2070,104185197/image/108780272.3.jpg,104185197,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.B,L.C.2852.B(5),Printed for the booksellers,108780270,,,,,,
2071,104184396/image/117781386.3.jpg,104184396,Edinburgh,Scotland,,,,"Morren, John, active 1784-1822",,[1800?],L.C.2805,L.C.2805(24),Printed by J. Morren.,117781384,,,,,,
2072,104185332/image/108651117.3.jpg,104185332,Glasgow,Scotland,,,,J. & M. Robertson,,1803,L.C.2834,L.C.2834(17),"Printed by J. & M. Robertson, Saltmarket",108651115,,,,,,
2073,117874574/image/117874883.3.jpg,117874574,Glasgow,Scotland,,,,"Duncan, Thomas, active 19th century",,[1815-1822?],L.C.2844.A,L.C.2844.A(24),"Printed and sold, wholesale & retail, by T. Duncan, 159, Saltmarket",117874881,,,,,,
2074,104185626/image/108488011.3.jpg,104185626,Glasgow,Scotland,,,,,,[1850-1860?],L.C.2845,L.C.2845(2),Printed for the booksellers,108488009,,,,,,
2075,104186738/image/108570933.3.jpg,104186738,Stirling,Scotland,,,,"Randall, Mary, -1847",,[1813-1820?],L.C.2872,L.C.2872(7),Printed and sold by M. Randall,108570931,,,,,,
2076,104185015/image/108812840.3.jpg,104185015,,,,,,,,[1810-1820?],L.C.2827,L.C.2827(11),Entered according to order,108812838,,,,,,
2077,104185490/image/108498081.3.jpg,104185490,Glasgow,Scotland,,,"Inglis, William, active 1838-1846",,,[1844-1846?],L.C.2841,L.C.2841(19),"William Inglis, 5, Melville Place, 132, Trongate",108498079,,,,,,
2078,104185033/image/108807848.3.jpg,104185033,Falkirk,Scotland,,,,,,[1810-1825?],L.C.2827,L.C.2827(28),Printed by T. Johnston,108807846,,,,,,
2079,104184836/image/108662445.3.jpg,104184836,Falkirk,Scotland,,,,,,[1800?],L.C.2820,L.C.2820(6),Entered according to order.,108662443,,,,,,
2080,104184836/image/108662721.3.jpg,104184836,Falkirk,Scotland,,,,,,[1800?],L.C.2820,L.C.2820(6),Entered according to order.,108662719,,,,,,
2081,104184836/image/108662553.3.jpg,104184836,Falkirk,Scotland,,,,,,[1800?],L.C.2820,L.C.2820(6),Entered according to order.,108662551,,,,,,
2082,104184240/image/108856664.3.jpg,104184240,Glasgow,Scotland,,,,J. & M. Robertson,,1803,L.C.2837,L.C.2837(28),"Printed by J. and M. Robertson, Saltmarket",108856662,,,,,,
2083,104185177/image/108786056.3.jpg,104185177,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.B,L.C.2852.B(14),Printed for the booksellers,108786054,,,,,,
2084,104185177/image/108786332.3.jpg,104185177,Glasgow,Scotland,,,,,,[1840-1850?],L.C.2852.B,L.C.2852.B(14),Printed for the booksellers,108786330,,,,,,
